Data Zone,Local Authority Code,Police Force Area,SIMD Crime 2012 rank,SIMD Crime 2012 count,"SIMD Crimes per 10,000 total population",,Notes
S01004804,320,Strathclyde,1593,49,552,,
S01000492,110,Grampian,1594,46,551,,
S01001955,230,Lothian and Borders,1595,53,551,,
S01002497,240,Central,1596,50,551,,
S01002416,240,Central,1597,34,551,,
S01004188,290,Lothian and Borders,1598,41,551,,
S01006299,400,Lothian and Borders,1599,42,551,,
S01001308,190,Strathclyde,1600,48,551,,
S01002817,250,Fife,1601,29,550,,
S01002071,230,Lothian and Borders,1602,40,550,,
S01002438,240,Central,1603,41,550,,
S01004085,280,Strathclyde,1604,35,550,,
S01000887,150,Central,1605,37,550,,
S01003035,260,Strathclyde,1606,59,549,,
S01003346,260,Strathclyde,1607,47,549,,
S01005588,370,Strathclyde,1608,37,548,,
S01002906,250,Fife,1609,44,548,,
S01004958,330,Northern,1610,54,548,,
S01000679,120,Tayside,1611,38,548,,
S01004494,310,Strathclyde,1612,45,547,,
S01002471,240,Central,1613,30,547,,
S01000200,100,Grampian,1614,44,547,,
S01006249,395,Strathclyde,1615,37,547,,
S01003586,260,Strathclyde,1616,61,547,,
S01004060,280,Strathclyde,1617,24,546,,
S01004819,320,Strathclyde,1618,35,546,,
S01002837,250,Fife,1619,32,546,,
S01006263,395,Strathclyde,1620,44,546,,
S01006402,400,Lothian and Borders,1621,36,546,,
S01005389,355,Lothian and Borders,1622,42,546,,
S01004662,320,Strathclyde,1623,53,545,,
S01004249,300,Grampian,1624,47,545,,
S01002914,250,Fife,1625,36,545,,
S01006093,390,Central,1626,40,545,,
S01005637,370,Strathclyde,1627,58,545,,
S01001328,190,Strathclyde,1628,44,545,,
S01006262,395,Strathclyde,1629,46,544,,
S01002273,230,Lothian and Borders,1630,47,544,,
S01003184,260,Strathclyde,1631,47,544,,
S01004699,320,Strathclyde,1632,44,544,,
S01002212,230,Lothian and Borders,1633,58,544,,
S01005031,340,Tayside,1634,38,544,,
S01001392,190,Strathclyde,1635,38,543,,
S01001247,180,Tayside,1636,28,543,,
S01003630,260,Strathclyde,1637,45,543,,
S01003104,260,Strathclyde,1638,53,542,,
S01005201,350,Strathclyde,1639,44,542,,
S01004146,290,Lothian and Borders,1640,37,542,,
S01002489,240,Central,1641,36,541,,
S01004669,320,Strathclyde,1642,43,541,,
S01001480,200,Strathclyde,1643,28,541,,
S01000865,150,Central,1644,58,540,,
S01000218,100,Grampian,1645,33,540,,
S01005940,380,Strathclyde,1646,37,540,,
S01002774,250,Fife,1647,41,539,,
S01006044,380,Strathclyde,1648,49,539,,
S01002905,250,Fife,1649,40,539,,
S01004118,280,Strathclyde,1650,50,538,,
S01001364,190,Strathclyde,1651,47,538,,
S01001890,230,Lothian and Borders,1652,51,538,,
S01003690,260,Strathclyde,1653,49,538,,
S01004067,280,Strathclyde,1654,43,537,,
S01003392,260,Strathclyde,1655,43,537,,
S01000092,100,Grampian,1656,43,537,,
S01003546,260,Strathclyde,1657,55,537,,
S01001129,180,Tayside,1658,49,537,,
S01005080,340,Tayside,1659,27,537,,
S01002868,250,Fife,1660,40,536,,
S01003049,260,Strathclyde,1661,29,536,,
S01006217,395,Strathclyde,1662,50,536,,
S01004035,280,Strathclyde,1663,37,536,,
S01003718,260,Strathclyde,1664,38,536,,
S01003512,260,Strathclyde,1665,34,536,,
S01003355,260,Strathclyde,1666,56,535,,
S01002163,230,Lothian and Borders,1667,62,535,,
S01004187,290,Lothian and Borders,1668,36,535,,
S01005670,380,Strathclyde,1669,43,535,,
S01005058,340,Tayside,1670,43,534,,
S01006178,395,Strathclyde,1671,42,534,,
S01000205,100,Grampian,1672,61,534,,
S01003689,260,Strathclyde,1673,32,534,,
S01003480,260,Strathclyde,1674,35,534,,
S01005729,380,Strathclyde,1675,29,534,,
S01005541,370,Strathclyde,1676,37,533,,
S01001928,230,Lothian and Borders,1677,56,533,,
S01002973,250,Fife,1678,51,533,,
S01005044,340,Tayside,1679,46,533,,
S01001173,180,Tayside,1680,43,533,,
S01000971,170,Dumfries & Galloway,1681,39,532,,
S01003695,260,Strathclyde,1682,59,532,,
S01001522,200,Strathclyde,1683,55,531,,
S01000626,120,Tayside,1684,38,531,,
S01004226,290,Lothian and Borders,1685,36,531,,
S01000187,100,Grampian,1686,32,530,,
S01004446,310,Strathclyde,1687,43,529,,
S01000040,100,Grampian,1688,46,529,,
S01001320,190,Strathclyde,1689,43,529,,
S01003096,260,Strathclyde,1690,37,529,,
S01004436,310,Strathclyde,1691,40,528,,
S01004932,320,Strathclyde,1692,39,528,,
S01004930,320,Strathclyde,1693,31,528,,
S01004135,290,Lothian and Borders,1694,33,528,,
S01001985,230,Lothian and Borders,1695,39,528,,
S01004581,320,Strathclyde,1696,59,528,,
S01003716,260,Strathclyde,1697,39,527,,
S01001789,220,Strathclyde,1698,44,527,,
S01005917,380,Strathclyde,1699,46,527,,
S01006350,400,Lothian and Borders,1700,33,527,,
S01003062,260,Strathclyde,1701,47,526,,
S01005215,350,Strathclyde,1702,48,526,,
S01005431,355,Lothian and Borders,1703,37,526,,
S01005266,350,Strathclyde,1704,44,526,,
S01003652,260,Strathclyde,1705,37,526,,
S01004744,320,Strathclyde,1706,30,526,,
S01006032,380,Strathclyde,1707,49,525,,
S01002338,230,Lothian and Borders,1708,26,525,,
S01006404,400,Lothian and Borders,1709,40,525,,
S01005262,350,Strathclyde,1710,49,525,,
S01003481,260,Strathclyde,1711,58,525,,
S01004194,290,Lothian and Borders,1712,36,524,,
S01001575,210,Lothian and Borders,1713,39,524,,
S01006107,390,Central,1714,35,524,,
S01004451,310,Strathclyde,1715,43,523,,
S01003686,260,Strathclyde,1716,51,523,,
S01002456,240,Central,1717,50,523,,
S01004218,290,Lothian and Borders,1718,42,523,,
S01002826,250,Fife,1719,28,523,,
S01001943,230,Lothian and Borders,1720,36,523,,
S01003407,260,Strathclyde,1721,40,522,,
S01006096,390,Central,1722,32,522,,
S01001027,170,Dumfries & Galloway,1723,47,521,,
S01002900,250,Fife,1724,36,520,,
S01000188,100,Grampian,1725,57,520,,
S01004615,320,Strathclyde,1726,54,520,,
S01001692,220,Strathclyde,1727,37,519,,
S01004284,300,Grampian,1728,40,519,,
S01000666,120,Tayside,1729,28,519,,
S01002299,230,Lothian and Borders,1730,39,519,,
S01005944,380,Strathclyde,1731,51,518,,
S01005762,380,Strathclyde,1732,36,517,,
S01004554,320,Strathclyde,1733,35,517,,
S01001141,180,Tayside,1734,40,517,,
S01005183,350,Strathclyde,1735,43,517,,
S01003421,260,Strathclyde,1736,42,517,,
S01002031,230,Lothian and Borders,1737,40,517,,
S01002741,250,Fife,1738,45,516,,
S01006452,400,Lothian and Borders,1739,31,516,,
S01003625,260,Strathclyde,1740,40,515,,
S01006420,400,Lothian and Borders,1741,43,515,,
S01001210,180,Tayside,1742,40,515,,
S01001387,190,Strathclyde,1743,44,515,,
S01001625,210,Lothian and Borders,1744,37,515,,
S01000277,110,Grampian,1745,36,515,,
S01002875,250,Fife,1746,26,515,,
S01003261,260,Strathclyde,1747,44,515,,
S01005908,380,Strathclyde,1748,43,515,,
S01004779,320,Strathclyde,1749,39,514,,
S01003386,260,Strathclyde,1750,35,514,,
S01002660,250,Fife,1751,42,514,,
S01006033,380,Strathclyde,1752,59,514,,
S01002999,250,Fife,1753,50,514,,
S01003710,260,Strathclyde,1754,54,514,,
S01004423,310,Strathclyde,1755,39,514,,
S01003882,270,Northern,1756,28,514,,
S01005060,340,Tayside,1757,35,514,,
S01002033,230,Lothian and Borders,1758,49,513,,
S01005380,355,Lothian and Borders,1759,32,513,,
S01005072,340,Tayside,1760,30,513,,
S01003098,260,Strathclyde,1761,59,513,,
S01001617,210,Lothian and Borders,1762,35,513,,
S01004155,290,Lothian and Borders,1763,47,512,,
S01002155,230,Lothian and Borders,1764,51,512,,
S01005748,380,Strathclyde,1765,31,512,,
S01004898,320,Strathclyde,1766,42,512,,
S01000567,110,Grampian,1767,38,512,,
S01004438,310,Strathclyde,1768,31,512,,
S01005016,340,Tayside,1769,44,512,,
S01004324,300,Grampian,1770,38,511,,
S01001018,170,Dumfries & Galloway,1771,36,511,,
S01005228,350,Strathclyde,1772,61,511,,
S01003526,260,Strathclyde,1773,48,511,,
S01000606,120,Tayside,1774,36,510,,
S01003688,260,Strathclyde,1775,45,510,,
S01005309,350,Strathclyde,1776,43,510,,
S01004820,320,Strathclyde,1777,51,510,,
S01003701,260,Strathclyde,1778,48,510,,
S01001720,220,Strathclyde,1779,40,510,,
S01005322,350,Strathclyde,1780,90,510,,
S01002901,250,Fife,1781,41,510,,
S01006450,400,Lothian and Borders,1782,34,509,,
S01001547,200,Strathclyde,1783,50,509,,
S01005620,370,Strathclyde,1784,27,509,,
S01004430,310,Strathclyde,1785,24,509,,
S01003199,260,Strathclyde,1786,47,508,,
S01002463,240,Central,1787,41,508,,
S01003185,260,Strathclyde,1788,32,508,,
S01005795,380,Strathclyde,1789,31,508,,
S01000150,100,Grampian,1790,32,507,,
S01002813,250,Fife,1791,39,507,,
S01004665,320,Strathclyde,1792,35,506,,
S01004899,320,Strathclyde,1793,39,506,,
S01003300,260,Strathclyde,1794,42,506,,
S01006447,400,Lothian and Borders,1795,31,505,,
S01003127,260,Strathclyde,1796,37,505,,
S01006112,390,Central,1797,35,505,,
S01000568,110,Grampian,1798,27,505,,
S01001848,230,Lothian and Borders,1799,37,505,,
S01001299,190,Strathclyde,1800,44,505,,
S01003812,270,Northern,1801,42,504,,
S01004291,300,Grampian,1802,39,503,,
S01004095,280,Strathclyde,1803,24,503,,
S01004475,310,Strathclyde,1804,24,503,,
S01006377,400,Lothian and Borders,1805,34,503,,
S01003692,260,Strathclyde,1806,49,503,,
S01004961,330,Northern,1807,31,502,,
S01002502,240,Central,1808,39,502,,
S01005071,340,Tayside,1809,23,502,,
S01002215,230,Lothian and Borders,1810,55,502,,
S01005712,380,Strathclyde,1811,25,501,,
S01004540,320,Strathclyde,1812,65,501,,
S01004147,290,Lothian and Borders,1813,37,501,,
S01004170,290,Lothian and Borders,1814,34,501,,
S01006478,400,Lothian and Borders,1815,44,501,,
S01004589,320,Strathclyde,1816,36,500,,
S01006419,400,Lothian and Borders,1817,27,499,,
S01003801,270,Northern,1818,36,499,,
S01005859,380,Strathclyde,1819,35,499,,
S01004511,310,Strathclyde,1820,43,499,,
S01001827,230,Lothian and Borders,1821,44,499,,
S01004420,310,Strathclyde,1822,35,499,,
S01000812,130,Strathclyde,1823,48,498,,
S01002601,250,Fife,1824,32,498,,
S01005114,340,Tayside,1825,47,498,,
S01000332,110,Grampian,1826,37,497,,
S01002553,240,Central,1827,38,497,,
S01001161,180,Tayside,1828,28,497,,
S01004402,310,Strathclyde,1829,44,497,,
S01001582,210,Lothian and Borders,1830,36,497,,
S01005897,380,Strathclyde,1831,35,497,,
S01002345,235,Northern,1832,34,496,,
S01001856,230,Lothian and Borders,1833,37,496,,
S01005166,350,Strathclyde,1834,45,496,,
S01003228,260,Strathclyde,1835,48,496,,
S01002078,230,Lothian and Borders,1836,51,495,,
S01005731,380,Strathclyde,1837,36,495,,
S01003696,260,Strathclyde,1838,54,495,,
S01003455,260,Strathclyde,1839,35,495,,
S01002684,250,Fife,1840,38,495,,
S01004806,320,Strathclyde,1841,27,495,,
S01003243,260,Strathclyde,1842,42,494,,
S01001236,180,Tayside,1843,44,494,,
S01002618,250,Fife,1844,40,494,,
S01000178,100,Grampian,1845,39,494,,
S01002147,230,Lothian and Borders,1846,45,494,,
S01006343,400,Lothian and Borders,1847,56,494,,
S01002115,230,Lothian and Borders,1848,55,493,,
S01006246,395,Strathclyde,1849,39,493,,
S01003207,260,Strathclyde,1850,38,493,,
S01001934,230,Lothian and Borders,1851,66,493,,
S01002617,250,Fife,1852,43,493,,
S01004519,310,Strathclyde,1853,44,492,,
S01002197,230,Lothian and Borders,1854,33,491,,
S01004168,290,Lothian and Borders,1855,32,491,,
S01002651,250,Fife,1856,29,491,,
S01005226,350,Strathclyde,1857,25,490,,
S01004745,320,Strathclyde,1858,44,490,,
S01001494,200,Strathclyde,1859,40,490,,
S01003980,270,Northern,1860,32,490,,
S01004435,310,Strathclyde,1861,34,489,,
S01006392,400,Lothian and Borders,1862,43,489,,
S01004960,330,Northern,1863,28,489,,
S01000571,120,Tayside,1864,34,489,,
S01000142,100,Grampian,1865,34,489,,
S01002430,240,Central,1866,32,489,,
S01006079,390,Central,1867,35,488,,
S01006014,380,Strathclyde,1868,33,488,,
S01004843,320,Strathclyde,1869,33,488,,
S01002104,230,Lothian and Borders,1870,75,488,,
S01005430,355,Lothian and Borders,1871,28,488,,
S01001904,230,Lothian and Borders,1872,28,487,,
S01004672,320,Strathclyde,1873,30,487,,
S01006216,395,Strathclyde,1874,34,487,,
S01001220,180,Tayside,1875,24,487,,
S01001193,180,Tayside,1876,38,487,,
S01002469,240,Central,1877,30,487,,
S01000622,120,Tayside,1878,26,486,,
S01002237,230,Lothian and Borders,1879,68,486,,
S01006097,390,Central,1880,45,486,,
S01005400,355,Lothian and Borders,1881,47,486,,
S01004466,310,Strathclyde,1882,46,486,,
S01006304,400,Lothian and Borders,1883,42,485,,
S01003331,260,Strathclyde,1884,31,485,,
S01005207,350,Strathclyde,1885,42,485,,
S01002382,240,Central,1886,30,484,,
S01003765,270,Northern,1887,31,484,,
S01005455,355,Lothian and Borders,1888,41,484,,
S01003174,260,Strathclyde,1889,50,484,,
S01006374,400,Lothian and Borders,1890,30,483,,
S01005973,380,Strathclyde,1891,42,483,,
S01003451,260,Strathclyde,1892,43,483,,
S01003827,270,Northern,1893,39,483,,
S01001886,230,Lothian and Borders,1894,29,483,,
S01003368,260,Strathclyde,1895,83,483,,
S01000821,130,Strathclyde,1896,41,483,,
S01003137,260,Strathclyde,1897,39,483,,
S01002402,240,Central,1898,34,483,,
S01002448,240,Central,1899,26,482,,
S01005867,380,Strathclyde,1900,46,482,,
S01003144,260,Strathclyde,1901,43,482,,
S01005567,370,Strathclyde,1902,44,482,,
S01004767,320,Strathclyde,1903,31,482,,
S01006306,400,Lothian and Borders,1904,43,482,,
S01002319,230,Lothian and Borders,1905,52,482,,
S01001565,210,Lothian and Borders,1906,35,481,,
S01004696,320,Strathclyde,1907,44,481,,
S01002742,250,Fife,1908,40,481,,
S01004902,320,Strathclyde,1909,32,481,,
S01005819,380,Strathclyde,1910,32,481,,
S01004536,320,Strathclyde,1911,31,481,,
S01003265,260,Strathclyde,1912,32,480,,
S01006213,395,Strathclyde,1913,48,480,,
S01006333,400,Lothian and Borders,1914,39,480,,
S01004327,300,Grampian,1915,36,480,,
S01001110,180,Tayside,1916,40,479,,
S01003298,260,Strathclyde,1917,49,478,,
S01005486,355,Lothian and Borders,1918,40,478,,
S01003254,260,Strathclyde,1919,29,478,,
S01003268,260,Strathclyde,1920,76,478,,
S01006076,390,Central,1921,45,478,,
S01002820,250,Fife,1922,40,478,,
S01002938,250,Fife,1923,35,478,,
S01005907,380,Strathclyde,1924,33,478,,
S01004449,310,Strathclyde,1925,43,477,,
S01005860,380,Strathclyde,1926,32,477,,
S01004769,320,Strathclyde,1927,27,477,,
S01003165,260,Strathclyde,1928,48,477,,
S01004534,320,Strathclyde,1929,32,476,,
S01005728,380,Strathclyde,1930,38,476,,
S01003506,260,Strathclyde,1931,50,476,,
S01001289,190,Strathclyde,1932,33,476,,
S01002514,240,Central,1933,27,476,,
S01005176,350,Strathclyde,1934,30,476,,
S01002061,230,Lothian and Borders,1935,40,476,,
S01003225,260,Strathclyde,1936,42,475,,
S01003450,260,Strathclyde,1937,37,474,,
S01004682,320,Strathclyde,1938,25,474,,
S01001095,180,Tayside,1939,71,474,,
S01000908,170,Dumfries & Galloway,1940,32,474,,
S01003553,260,Strathclyde,1941,30,474,,
S01005863,380,Strathclyde,1942,66,474,,
S01005754,380,Strathclyde,1943,48,473,,
S01003497,260,Strathclyde,1944,40,472,,
S01003921,270,Northern,1945,46,472,,
S01001307,190,Strathclyde,1946,60,472,,
S01002185,230,Lothian and Borders,1947,44,472,,
S01004317,300,Grampian,1948,50,472,,
S01002140,230,Lothian and Borders,1949,40,472,,
S01005630,370,Strathclyde,1950,26,472,,
S01002403,240,Central,1951,34,471,,
S01002818,250,Fife,1952,28,471,,
S01004369,310,Strathclyde,1953,33,471,,
S01003575,260,Strathclyde,1954,45,470,,
S01004795,320,Strathclyde,1955,43,470,,
S01002575,250,Fife,1956,47,470,,
S01001256,180,Tayside,1957,31,470,,
S01002764,250,Fife,1958,31,469,,
S01006421,400,Lothian and Borders,1959,36,469,,
S01000737,130,Strathclyde,1960,25,469,,
S01005647,370,Strathclyde,1961,37,469,,
S01004781,320,Strathclyde,1962,38,469,,
S01006082,390,Central,1963,41,469,,
S01002556,240,Central,1964,33,468,,
S01006190,395,Strathclyde,1965,40,468,,
S01003060,260,Strathclyde,1966,57,468,,
S01003585,260,Strathclyde,1967,32,468,,
S01002598,250,Fife,1968,43,468,,
S01006077,390,Central,1969,54,468,,
S01002771,250,Fife,1970,35,468,,
S01001318,190,Strathclyde,1971,23,467,,
S01000030,100,Grampian,1972,22,467,,
S01006119,390,Central,1973,48,467,,
S01005065,340,Tayside,1974,53,467,,
S01002284,230,Lothian and Borders,1975,82,467,,
S01003136,260,Strathclyde,1976,42,467,,
S01002381,240,Central,1977,39,467,,
S01003942,270,Northern,1978,32,467,,
S01000201,100,Grampian,1979,28,466,,
S01000668,120,Tayside,1980,39,466,,
S01004667,320,Strathclyde,1981,31,466,,
S01003472,260,Strathclyde,1982,50,466,,
S01003190,260,Strathclyde,1983,36,465,,
S01004815,320,Strathclyde,1984,81,465,,
S01001516,200,Strathclyde,1985,33,465,,
S01000036,100,Grampian,1986,31,465,,
S01004483,310,Strathclyde,1987,31,465,,
S01005609,370,Strathclyde,1988,39,465,,
S01003058,260,Strathclyde,1989,54,465,,
S01003994,270,Northern,1990,33,464,,
S01003171,260,Strathclyde,1991,35,464,,
S01001884,230,Lothian and Borders,1992,44,464,,
S01003655,260,Strathclyde,1993,34,464,,
S01004444,310,Strathclyde,1994,40,463,,
S01000780,130,Strathclyde,1995,35,463,,
S01004829,320,Strathclyde,1996,33,463,,
S01000193,100,Grampian,1997,33,463,,
S01003275,260,Strathclyde,1998,46,463,,
S01001109,180,Tayside,1999,76,463,,
S01005056,340,Tayside,2000,33,462,,
S01001254,180,Tayside,2001,27,462,,
S01005781,380,Strathclyde,2002,42,462,,
S01006060,380,Strathclyde,2003,29,462,,
S01006318,400,Lothian and Borders,2004,35,462,,
S01006087,390,Central,2005,32,462,,
S01003754,270,Northern,2006,38,462,,
S01003830,270,Northern,2007,42,462,,
S01003334,260,Strathclyde,2008,41,462,,
S01006034,380,Strathclyde,2009,74,462,,
S01004101,280,Strathclyde,2010,36,462,,
S01001517,200,Strathclyde,2011,36,462,,
S01001537,200,Strathclyde,2012,26,462,,
S01002307,230,Lothian and Borders,2013,55,461,,
S01002745,250,Fife,2014,28,461,,
S01001707,220,Strathclyde,2015,34,461,,
S01003121,260,Strathclyde,2016,41,460,,
S01002532,240,Central,2017,31,460,,
S01003175,260,Strathclyde,2018,39,460,,
S01006197,395,Strathclyde,2019,37,460,,
S01006468,400,Lothian and Borders,2020,57,460,,
S01001199,180,Tayside,2021,40,459,,
S01001207,180,Tayside,2022,36,459,,
S01006268,395,Strathclyde,2023,31,459,,
S01004934,320,Strathclyde,2024,32,458,,
S01004487,310,Strathclyde,2025,45,458,,
S01000695,120,Tayside,2026,34,458,,
S01003032,260,Strathclyde,2027,33,458,,
S01004097,280,Strathclyde,2028,34,458,,
S01002537,240,Central,2029,26,457,,
S01003684,260,Strathclyde,2030,36,457,,
S01004376,310,Strathclyde,2031,41,457,,
S01006385,400,Lothian and Borders,2032,45,457,,
S01003372,260,Strathclyde,2033,37,456,,
S01001335,190,Strathclyde,2034,38,456,,
S01005076,340,Tayside,2035,31,456,,
S01004458,310,Strathclyde,2036,36,456,,
S01006429,400,Lothian and Borders,2037,28,456,,
S01004032,280,Strathclyde,2038,21,456,,
S01003079,260,Strathclyde,2039,38,456,,
S01003115,260,Strathclyde,2040,48,456,,
S01003308,260,Strathclyde,2041,38,456,,
S01005758,380,Strathclyde,2042,37,456,,
S01002262,230,Lothian and Borders,2043,36,455,,
S01005808,380,Strathclyde,2044,30,455,,
S01003773,270,Northern,2045,32,455,,
S01001249,180,Tayside,2046,28,455,,
S01005865,380,Strathclyde,2047,35,455,,
S01002703,250,Fife,2048,56,455,,
S01003039,260,Strathclyde,2049,36,455,,
S01002107,230,Lothian and Borders,2050,25,455,,
S01000262,100,Grampian,2051,41,454,,
S01003645,260,Strathclyde,2052,27,454,,
S01006127,390,Central,2053,31,454,,
S01004386,310,Strathclyde,2054,44,454,,
S01004481,310,Strathclyde,2055,36,454,,
S01001263,180,Tayside,2056,20,453,,
S01001385,190,Strathclyde,2057,36,453,,
S01002822,250,Fife,2058,38,453,,
S01003581,260,Strathclyde,2059,92,453,,
S01000856,150,Central,2060,25,452,,
S01003906,270,Northern,2061,32,452,,
S01003465,260,Strathclyde,2062,83,451,,
S01002005,230,Lothian and Borders,2063,36,451,,
S01001087,170,Dumfries & Galloway,2064,22,450,,
S01001007,170,Dumfries & Galloway,2065,39,450,,
S01005566,370,Strathclyde,2066,22,450,,
S01005079,340,Tayside,2067,26,450,,
S01003338,260,Strathclyde,2068,38,449,,
S01004105,280,Strathclyde,2069,35,449,,
S01005540,370,Strathclyde,2070,32,449,,
S01002068,230,Lothian and Borders,2071,51,449,,
S01003267,260,Strathclyde,2072,40,449,,
S01002702,250,Fife,2073,26,449,,
S01001648,210,Lothian and Borders,2074,33,448,,
S01000093,100,Grampian,2075,30,448,,
S01003930,270,Northern,2076,34,448,,
S01000386,110,Grampian,2077,50,447,,
S01004885,320,Strathclyde,2078,23,447,,
S01001215,180,Tayside,2079,31,447,,
S01001209,180,Tayside,2080,25,447,,
S01004749,320,Strathclyde,2081,42,447,,
S01001758,220,Strathclyde,2082,34,447,,
S01001577,210,Lothian and Borders,2083,31,447,,
S01001013,170,Dumfries & Galloway,2084,38,447,,
S01003380,260,Strathclyde,2085,51,447,,
S01001187,180,Tayside,2086,40,446,,
S01004568,320,Strathclyde,2087,30,446,,
S01000631,120,Tayside,2088,25,446,,
S01000173,100,Grampian,2089,34,446,,
S01003126,260,Strathclyde,2090,18,446,,
S01001216,180,Tayside,2091,39,446,,
S01001010,170,Dumfries & Galloway,2092,40,446,,
S01003961,270,Northern,2093,23,446,,
S01001021,170,Dumfries & Galloway,2094,43,446,,
S01003425,260,Strathclyde,2095,49,446,,
S01001198,180,Tayside,2096,32,446,,
S01004077,280,Strathclyde,2097,36,446,,
S01001295,190,Strathclyde,2098,37,445,,
S01000752,130,Strathclyde,2099,42,445,,
S01000215,100,Grampian,2100,44,445,,
S01001153,180,Tayside,2101,32,445,,
S01001877,230,Lothian and Borders,2102,42,445,,
S01006003,380,Strathclyde,2103,28,444,,
S01005202,350,Strathclyde,2104,36,444,,
S01000197,100,Grampian,2105,24,444,,
S01002515,240,Central,2106,25,444,,
S01003431,260,Strathclyde,2107,30,444,,
S01002048,230,Lothian and Borders,2108,40,444,,
S01001956,230,Lothian and Borders,2109,37,444,,
S01002743,250,Fife,2110,28,444,,
S01001119,180,Tayside,2111,44,443,,
S01002452,240,Central,2112,23,443,,
S01001122,180,Tayside,2113,32,443,,
S01003730,270,Northern,2114,28,443,,
S01004416,310,Strathclyde,2115,31,443,,
S01003097,260,Strathclyde,2116,31,443,,
S01000151,100,Grampian,2117,38,443,,
S01001033,170,Dumfries & Galloway,2118,30,442,,
S01002000,230,Lothian and Borders,2119,33,442,,
S01001273,190,Strathclyde,2120,31,442,,
S01003326,260,Strathclyde,2121,33,442,,
S01003511,260,Strathclyde,2122,45,441,,
S01005674,380,Strathclyde,2123,40,441,,
S01004005,270,Northern,2124,24,441,,
S01004447,310,Strathclyde,2125,32,441,,
S01000091,100,Grampian,2126,48,440,,
S01006390,400,Lothian and Borders,2127,28,440,,
S01005326,350,Strathclyde,2128,38,440,,
S01000541,110,Grampian,2129,24,440,,
S01004818,320,Strathclyde,2130,34,440,,
S01000038,100,Grampian,2131,34,440,,
S01004051,280,Strathclyde,2132,35,440,,
S01000072,100,Grampian,2133,38,440,,
S01006411,400,Lothian and Borders,2134,43,439,,
S01002872,250,Fife,2135,27,439,,
S01000473,110,Grampian,2136,28,439,,
S01001028,170,Dumfries & Galloway,2137,33,439,,
S01003277,260,Strathclyde,2138,27,439,,
S01003186,260,Strathclyde,2139,38,438,,
S01004102,280,Strathclyde,2140,34,438,,
S01003057,260,Strathclyde,2141,29,438,,
S01005454,355,Lothian and Borders,2142,41,438,,
S01004666,320,Strathclyde,2143,28,438,,
S01002711,250,Fife,2144,37,438,,
S01005203,350,Strathclyde,2145,38,438,,
S01004207,290,Lothian and Borders,2146,33,437,,
S01002435,240,Central,2147,29,437,,
S01001555,210,Lothian and Borders,2148,32,437,,
S01004228,290,Lothian and Borders,2149,36,437,,
S01006046,380,Strathclyde,2150,42,437,,
S01001231,180,Tayside,2151,30,436,,
S01003735,270,Northern,2152,34,436,,
S01002799,250,Fife,2153,26,436,,
S01005936,380,Strathclyde,2154,34,435,,
S01006475,400,Lothian and Borders,2155,36,435,,
S01002081,230,Lothian and Borders,2156,37,435,,
S01006196,395,Strathclyde,2157,37,435,,
S01000935,170,Dumfries & Galloway,2158,36,435,,
S01005388,355,Lothian and Borders,2159,32,435,,
S01004654,320,Strathclyde,2160,41,435,,
S01001258,180,Tayside,2161,27,434,,
S01002663,250,Fife,2162,33,434,,
S01005069,340,Tayside,2163,24,434,,
S01002861,250,Fife,2164,39,434,,
S01006011,380,Strathclyde,2165,38,434,,
S01004387,310,Strathclyde,2166,39,434,,
S01004528,320,Strathclyde,2167,30,433,,
S01002884,250,Fife,2168,32,433,,
S01001313,190,Strathclyde,2169,35,433,,
S01002535,240,Central,2170,40,433,,
S01002546,240,Central,2171,32,433,,
S01000996,170,Dumfries & Galloway,2172,46,433,,
S01002258,230,Lothian and Borders,2173,39,433,,
S01003508,260,Strathclyde,2174,36,433,,
S01002309,230,Lothian and Borders,2175,31,432,,
S01004461,310,Strathclyde,2176,27,432,,
S01004201,290,Lothian and Borders,2177,30,432,,
S01005628,370,Strathclyde,2178,47,431,,
S01003828,270,Northern,2179,46,431,,
S01002257,230,Lothian and Borders,2180,30,431,,
S01004572,320,Strathclyde,2181,31,431,,
S01006050,380,Strathclyde,2182,34,431,,
S01002828,250,Fife,2183,36,431,,
S01001123,180,Tayside,2184,37,430,,
S01004636,320,Strathclyde,2185,26,430,,
S01003236,260,Strathclyde,2186,36,430,,
S01005694,380,Strathclyde,2187,24,430,,
S01000565,110,Grampian,2188,31,430,,
S01003377,260,Strathclyde,2189,32,430,,
S01000085,100,Grampian,2190,26,430,,
S01002891,250,Fife,2191,30,430,,
S01005135,340,Tayside,2192,34,429,,
S01004433,310,Strathclyde,2193,38,429,,
S01003181,260,Strathclyde,2194,38,429,,
S01004764,320,Strathclyde,2195,29,429,,
S01000584,120,Tayside,2196,32,429,,
S01004038,280,Strathclyde,2197,28,429,,
S01003698,260,Strathclyde,2198,41,429,,
S01006005,380,Strathclyde,2199,24,429,,
S01004640,320,Strathclyde,2200,29,429,,
S01002585,250,Fife,2201,37,428,,
S01000876,150,Central,2202,28,428,,
S01000833,150,Central,2203,45,428,,
S01004506,310,Strathclyde,2204,23,428,,
S01004919,320,Strathclyde,2205,29,428,,
S01000086,100,Grampian,2206,33,428,,
S01001876,230,Lothian and Borders,2207,42,428,,
S01003636,260,Strathclyde,2208,40,427,,
S01002860,250,Fife,2209,43,427,,
S01006227,395,Strathclyde,2210,37,427,,
