id,postcode,latitude,longitude
1348836,DD11AA,56.462234197658500,-2.973542176697680
1348837,DD11AD,56.462183326938900,-2.977727839377440
1348838,DD11AR,56.459387944817600,-2.967562591125300
1348839,DD11BA,56.461673186822700,-2.976335320300450
1348840,DD11DA,56.462615618511500,-2.970728140168700
1348841,DD11DB,56.463892453427500,-2.969446153114960
1348842,DD11DD,56.462069419088300,-2.971639226441150
1348843,DD11DH,56.461749343136700,-2.971209114271590
1348844,DD11DJ,56.462630436354700,-2.969981996913790
1348845,DD11DQ,56.461965461737000,-2.969997498542690
1348846,DD11DU,56.463158105292700,-2.971439828379260
1348847,DD11DZ,56.463158105292700,-2.971439828379260
1348848,DD11ED,56.463235933334800,-2.970679053577880
1348849,DD11EF,56.464038664923100,-2.971429857185670
1348850,DD11EJ,56.464038664923100,-2.971429857185670
1348851,DD11EL,56.464038664923100,-2.971429857185670
1348852,DD11EN,56.464464534246500,-2.970970077226380
1348853,DD11EQ,56.463491508854700,-2.970166244191470
1348854,DD11ER,56.464595875248600,-2.970259329005100
1348855,DD11EX,56.462480301360800,-2.975382314483830
1348925,DD11HF,56.463597964533900,-2.972635788529160
1348926,DD11HG,56.463153050210800,-2.974377139814330
1348927,DD11HN,56.463783338325500,-2.971910213411180
1348928,DD11HP,56.463645838119300,-2.971111471426730
1348929,DD11HT,56.461092628877700,-2.975898490930360
1348930,DD11HU,56.462938284279500,-2.973122016337470
1348931,DD11HX,56.463979896551000,-2.973197350606830
1348932,DD11JB,56.464444266126300,-2.974702345746230
1348933,DD11JF,56.462234197658500,-2.973542176697680
1348934,DD11JG,56.463917189515600,-2.972027238257830
1348935,DD11JN,56.464504114707100,-2.971652727667630
1348936,DD11JQ,56.463783338325500,-2.971910213411180
1348937,DD11JR,56.464813336574000,-2.971173736712270
1348938,DD11JS,56.465127058850300,-2.972415210899750
1348939,DD11JT,56.464652779335700,-2.974464244779920
1348940,DD11JU,56.464967106381200,-2.975624608170300
1348941,DD11JZ,56.464486685797700,-2.976164090120230
1348942,DD11LA,56.464376979018300,-2.976404717009460
1348943,DD11LB,56.463976841124200,-2.975875108195240
1348944,DD11LD,56.464327852146500,-2.976939028215180
1348945,DD11LE,56.464284293792200,-2.975623324716100
1348946,DD11LF,56.463431575034700,-2.975520309369420
1348947,DD11LH,56.462451762404500,-2.974440320594090
1348948,DD11LL,56.462304216673700,-2.974923399038850
1348949,DD11LN,56.462177170712800,-2.972794204583000
1348950,DD11LP,56.461983133025100,-2.974623058247660
1348951,DD11LR,56.461983133025100,-2.974623058247660
1348952,DD11LU,56.461788123251600,-2.975429480974530
1348953,DD11LW,56.462126236212600,-2.971267421831370
1348954,DD11LX,56.461557250250100,-2.975082767501850
1348955,DD11LY,56.462146921272400,-2.975503594959420
1348956,DD11LZ,56.462171701183200,-2.975780115561830
1348957,DD11NA,56.461930316181000,-2.975627868128940
1348958,DD11ND,56.461673186822700,-2.976335320300450
1348959,DD11NE,56.461500294217100,-2.975470785719270
1348960,DD11NG,56.461688383913400,-2.977828717261410
1348961,DD11NH,56.461571313381100,-2.976722184655930
1348962,DD11NJ,56.460552984258500,-2.978253914519810
1348963,DD11NP,56.458868158524000,-2.976571653483930
1348964,DD11NQ,56.458995491340800,-2.977516098727790
1348965,DD11NR,56.458191725504900,-2.975759176068800
1348966,DD11NT,56.461571313381100,-2.976722184655930
1348967,DD11NU,56.457916832123100,-2.975297778007030
1348968,DD11PA,56.457769410711200,-2.975764572333480
1348969,DD11PB,56.457666518242000,-2.976281185437920
1348970,DD11PD,56.458454315828400,-2.976642166024220
